location,href,status
apps/arcyria-website/app/compare/page.tsx,/pricing,OK
apps/arcyria-website/app/compare/page.tsx,/connectors,OK
apps/arcyria-website/app/privacy/privacy-client.tsx,mailto:support@mantrixflow.com,External contact link — syntax only
apps/arcyria-website/app/subprocessors/subprocessors-client.tsx,mailto:support@mantrixflow.com,External contact link — syntax only
apps/arcyria-website/app/terms/terms-client.tsx,mailto:support@mantrixflow.com,External contact link — syntax only
apps/arcyria-website/components/cta-section.tsx,/pricing,OK
apps/arcyria-website/components/cta-section.tsx,/compare,OK
apps/arcyria-website/components/cta-section.tsx,mailto:support@mantrixflow.com,External contact link — syntax only
apps/arcyria-website/components/footer.tsx,mailto:support@mantrixflow.com,External contact link — syntax only
apps/arcyria-website/components/footer.tsx,https://www.linkedin.com/company/mantrixflow,External — network check required
apps/arcyria-website/components/footer.tsx,/terms,OK
apps/arcyria-website/components/footer.tsx,/privacy,OK
apps/arcyria-website/components/hero-section.tsx,/pricing,OK
apps/arcyria-website/components/home/home-hero.tsx,/connectors,OK
apps/arcyria-website/components/home/home-hero.tsx,mailto:support@mantrixflow.com,External contact link — syntax only
apps/arcyria-website/components/home/home-latest.tsx,/connectors,OK
apps/arcyria-website/components/home/home-story.tsx,/compare,OK
apps/arcyria-website/components/home/home-story.tsx,/connectors,OK
apps/arcyria-website/components/home/home-story.tsx,/pricing,OK
apps/arcyria-website/components/home/home-story.tsx,/integrations,OK
apps/arcyria-website/components/marketing/connectors-teaser.tsx,/connectors,OK
apps/arcyria-website/components/marketing/integrations-teaser.tsx,/integrations,OK
apps/arcyria-website/components/marketing/solutions-menu.tsx,/connectors,OK
apps/arcyria-website/components/navbar.tsx,/,OK
apps/arcyria-website/components/side-nav.tsx,/pricing,OK
apps/arcyria-website/components/side-nav.tsx,https://docs.mantrixflow.com/,External — network check required
apps/arcyria-platform/app/auth/auth-code-error/page.tsx,/auth/login,OK
apps/arcyria-platform/app/auth/auth-code-error/page.tsx,/,OK
apps/arcyria-platform/app/error.tsx,/,OK
apps/arcyria-platform/components/auth-page.tsx,/,OK
apps/arcyria-platform/components/auth-page.tsx,https://mantrixflow.com/terms,External — network check required
apps/arcyria-platform/components/auth-page.tsx,https://mantrixflow.com/privacy,External — network check required
apps/arcyria-platform/lib/utils/toast.ts,itemName,External — network check required
apps/arcyria-platform/lib/utils/toast.ts,"itemName, error",External — network check required
apps/mantrixflow-docs/README.md,https://mantrixflow.com,External — network check required
apps/mantrixflow-docs/README.md,https://mintlify.com,External — network check required
apps/mantrixflow-docs/billing-breakdown.mdx,/pricing,OK
apps/mantrixflow-docs/billing-breakdown.mdx,mailto:support@mantrixflow.com,External contact link — syntax only
